height(m),weight(kg)
0.55,14.80
0.75,18.80
0.50,14.70
0.87,21.63
0.54,16.12
0.97,30.35
0.84,20.23
0.63,18.62
0.56,13.08
0.47,11.73
0.93,28.45
0.47,10.73
0.57,17.35
0.48,15.46
0.86,26.37
0.87,25.88
0.49,11.33
0.93,21.41
0.87,27.16
0.87,19.91
0.55,16.59
0.48,15.12
0.89,26.87
0.58,18.61
0.53,16.10
0.87,19.40
0.83,23.48
0.81,19.49
0.50,14.96
0.46,11.63
0.87,21.12
0.47,10.50
0.50,14.72
0.91,26.06
0.51,11.67
0.88,20.20
0.84,19.01
0.50,12.26
0.44,13.45
0.52,15.49
0.83,25.19
0.86,19.59
0.49,15.14
0.58,18.68
0.60,18.53
0.83,20.40
0.95,29.19
0.50,15.65
0.88,27.29
0.52,16.57
0.89,27.04
0.88,27.74
0.85,20.31
0.44,13.36
0.90,20.50
0.82,24.02
0.86,20.23
0.53,12.20
0.47,11.35
0.52,16.51
0.93,27.93
0.51,15.76
0.43,10.11
0.88,21.63
0.55,17.25
0.50,11.28
0.85,25.65
0.49,15.22
0.51,14.79
0.89,26.88
0.94,29.72
0.93,20.98
0.48,10.87
0.50,12.52
0.47,10.40
0.84,26.95
0.53,13.14
0.46,14.70
0.49,11.97
0.91,28.69
0.61,17.52
0.82,19.30
0.51,14.45
0.55,16.47
0.49,14.57
0.91,19.81
0.61,19.48
0.84,20.05
0.94,21.34
0.93,27.97
0.94,21.56
0.55,12.54
0.85,20.28
0.66,16.48
0.88,20.69
0.55,13.56
0.85,25.45
0.50,12.07
0.62,14.20
0.49,15.13
