height(m),weight(kg)
0.54,11.22
0.51,11.61
0.74,12.81
0.75,14.94
0.37,7.54
0.52,11.73
0.75,12.94
0.74,15.31
0.44,9.19
0.39,6.37
0.52,11.56
0.75,12.62
0.50,8.99
0.67,11.45
0.38,6.92
0.50,9.55
0.81,14.24
0.53,11.34
0.53,12.30
0.47,8.10
0.40,8.49
0.82,13.36
0.75,17.27
0.42,9.10
0.74,17.11
0.76,12.50
0.71,16.55
0.71,16.55
0.47,10.61
0.36,6.59
0.79,18.01
0.80,13.12
0.75,17.26
0.82,19.43
0.76,17.90
0.53,12.64
0.70,16.42
0.49,11.34
0.78,17.58
0.79,13.26
0.48,11.09
0.40,6.45
0.51,9.20
0.47,8.85
0.50,11.83
0.43,10.01
0.76,16.79
0.82,14.88
0.40,9.36
0.49,8.68
0.42,6.95
0.37,8.39
0.80,18.30
0.41,9.59
0.76,17.28
0.74,16.60
0.83,18.21
0.46,7.66
0.78,17.93
0.76,17.68
0.50,11.38
0.70,15.63
0.66,11.91
0.42,7.30
0.79,18.50
0.46,10.63
0.52,9.32
0.47,8.62
0.48,10.93
0.45,7.85
0.44,10.55
0.41,6.76
0.45,10.36
0.80,17.69
0.48,11.04
0.42,10.16
0.78,14.29
0.73,15.97
0.69,11.60
0.44,10.29
0.78,17.69
0.41,6.85
0.47,8.37
0.43,9.94
0.50,9.29
0.78,17.89
0.44,10.38
0.49,11.47
0.72,15.48
0.76,17.96
0.50,11.78
0.72,12.05
0.76,12.68
0.79,14.54
0.38,8.31
0.76,16.11
0.50,8.93
0.47,10.56
0.81,14.16
0.45,8.30
