height(m),weight(kg)
0.56,11.51
0.40,8.56
0.47,8.42
0.40,7.78
0.41,10.08
0.54,10.25
0.46,10.33
0.61,11.36
0.61,11.17
0.54,12.25
0.36,6.79
0.67,15.60
0.47,8.39
0.57,12.88
0.35,8.03
0.63,15.69
0.31,5.75
0.34,7.84
0.60,12.74
0.43,7.66
0.66,15.16
0.33,7.73
0.32,6.99
0.68,15.68
0.60,10.61
0.38,9.15
0.62,14.61
0.69,15.41
0.61,14.43
0.34,7.77
0.35,8.38
0.34,5.95
0.34,6.27
0.37,6.52
0.32,5.77
0.33,5.70
0.41,8.75
0.61,11.91
0.35,6.58
0.65,12.45
0.47,10.97
0.33,7.44
0.42,7.54
0.61,11.74
0.57,10.54
0.61,10.81
0.46,9.94
0.42,7.78
0.35,6.27
0.62,11.12
0.40,7.92
0.57,13.42
0.56,12.84
0.34,8.44
0.41,9.69
0.64,11.05
0.38,8.66
0.59,10.76
0.60,10.69
0.45,8.85
0.42,9.48
0.60,10.59
0.38,7.25
0.53,12.53
0.61,14.73
0.41,8.84
0.32,7.17
0.34,8.40
0.40,7.54
0.37,6.82
0.57,12.96
0.39,8.72
0.35,6.61
0.60,13.93
0.40,9.28
0.59,10.78
0.62,10.78
0.65,15.09
0.36,6.76
0.64,14.33
0.55,9.73
0.58,10.34
0.33,6.05
0.36,6.41
0.60,14.41
0.63,11.64
0.35,6.60
0.34,7.97
0.38,8.48
0.57,10.89
0.43,7.62
0.34,6.63
0.46,9.85
0.36,7.16
0.50,9.08
0.36,8.86
0.58,10.27
0.37,7.26
0.64,12.40
0.45,10.29
