height(m),weight(kg)
0.55,6.83
0.55,5.77
0.65,7.17
0.59,8.48
0.54,6.25
0.52,5.50
0.47,5.73
0.50,7.05
0.42,5.95
0.71,8.64
0.69,9.20
0.46,5.38
0.50,7.12
0.67,7.09
0.44,5.00
0.74,8.54
0.72,7.99
0.38,4.40
0.43,5.91
0.81,9.26
0.48,4.89
0.72,10.16
0.38,5.59
0.43,4.70
0.47,6.99
0.73,7.78
0.49,5.25
0.52,5.69
0.40,5.47
0.80,8.78
0.81,11.26
0.78,11.40
0.71,7.58
0.73,8.08
0.38,5.33
0.77,8.84
0.78,11.05
0.75,10.31
0.42,5.95
0.41,4.61
0.47,6.91
0.71,7.83
0.44,6.06
0.44,6.48
0.74,7.81
0.45,4.84
0.79,11.51
0.42,4.58
0.50,7.37
0.38,5.41
0.48,6.58
0.77,8.66
0.42,5.92
0.80,8.27
0.76,8.62
0.73,9.95
0.40,4.61
0.78,8.82
0.84,8.96
0.46,6.86
0.44,5.01
0.74,10.80
0.82,12.02
0.79,8.95
0.38,5.37
0.82,11.80
0.40,5.45
0.82,9.04
0.42,6.17
0.45,6.36
0.75,10.23
0.44,4.94
0.46,6.06
0.74,7.86
0.41,5.73
0.75,10.97
0.81,8.57
0.38,3.93
0.41,4.81
0.72,9.72
0.47,5.14
0.73,10.39
0.44,4.96
0.41,4.17
0.48,6.90
0.40,5.57
0.40,4.33
0.74,9.70
0.42,6.16
0.75,8.44
0.45,6.37
0.70,7.32
0.73,10.68
0.76,8.50
0.47,5.03
0.50,5.65
0.49,5.27
0.78,11.15
0.79,11.03
0.67,8.92
