height(m),weight(kg)
0.40,2.21
0.38,2.11
0.38,2.65
0.21,1.13
0.21,1.15
0.41,2.21
0.33,1.89
0.40,2.76
0.21,1.11
0.34,2.25
0.21,1.07
0.24,1.59
0.26,1.40
0.26,1.65
0.36,2.34
0.26,1.68
0.35,2.31
0.26,1.74
0.40,2.58
0.42,2.68
0.26,1.76
0.38,2.13
0.36,2.55
0.23,1.16
0.24,1.17
0.40,2.14
0.36,1.83
0.36,2.50
0.38,2.48
0.22,1.48
0.23,1.25
0.25,1.73
0.41,2.72
0.34,2.29
0.20,1.10
0.25,1.28
0.24,1.15
0.19,1.30
0.22,1.54
0.36,2.35
0.37,1.98
0.20,1.06
0.39,2.72
0.37,2.57
0.21,1.09
0.25,1.37
0.23,1.57
0.18,1.30
0.40,2.79
0.21,1.44
0.35,1.89
0.22,1.15
0.35,1.94
0.39,2.82
0.37,1.90
0.37,2.49
0.21,1.44
0.23,1.65
0.40,2.77
0.21,1.48
0.39,2.55
0.38,1.86
0.21,1.06
0.36,2.41
0.21,1.41
0.22,1.18
0.36,1.83
0.40,1.92
0.22,1.10
0.21,1.34
0.39,1.95
0.39,1.98
0.36,1.93
0.21,1.11
0.37,1.85
0.36,2.49
0.23,1.19
0.25,1.67
0.19,1.02
0.22,1.41
0.38,2.47
0.19,0.97
0.20,1.33
0.20,1.26
0.38,2.65
0.22,1.44
0.35,2.43
0.40,2.14
0.36,2.41
0.22,1.22
0.24,1.27
0.38,2.58
0.22,1.48
0.20,1.28
0.20,1.06
0.22,1.47
0.22,1.46
0.22,1.14
0.37,2.03
0.34,1.74
